DATE,OCCUPATION,JOB VACANCIES
2019-01,Specialized cleaners [6732],1845
2019-01,"Janitors, caretakers and building superintendents [6733]",3210
2019-01,"Other service support and related occupations, not elsewhere classified (n.e.c.) [674]",1270
2019-01,"Dry cleaning, laundry and related occupations [6741]",495
2019-01,"Other service support occupations, not elsewhere classified (n.e.c.) [6742]",775
2019-01,"Trades, transport and equipment operators and related occupations [7]",87995
2019-01,"Industrial, electrical and construction trades [72]",23270
2019-01,"Contractors and supervisors, industrial, electrical and construction trades and related workers [720]",685
2019-01,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201]",70
2019-01,"Contractors and supervisors, electrical trades and telecommunications occupations [7202]",60
2019-01,"Contractors and supervisors, pipefitting trades [7203]",0
2019-01,"Contractors and supervisors, carpentry trades [7204]",265
2019-01,"Contractors and supervisors, other construction trades, installers, repairers and servicers [7205]",280
2019-01,"Machining, metal forming, shaping and erecting trades [723]",6805
2019-01,Machinists and machining and tooling inspectors [7231],1900
2019-01,Tool and die makers [7232],275
2019-01,Sheet metal workers [7233],560
2019-01,Boilermakers [7234],0
2019-01,Structural metal and platework fabricators and fitters [7235],0
2019-01,Ironworkers [7236],325
2019-01,Welders and related machine operators [7237],3450
2019-01,Electrical trades and electrical power line and telecommunications workers [724],3400
2019-01,Electricians (except industrial and power system) [7241],1820
2019-01,Industrial electricians [7242],600
2019-01,Power system electricians [7243],0
2019-01,Electrical power line and cable workers [7244],95
2019-01,Telecommunications line and cable workers [7245],410
2019-01,Telecommunications installation and repair workers [7246],0
2019-01,Cable television service and maintenance technicians [7247],70
2019-01,"Plumbers, pipefitters and gas fitters [725]",2170
2019-01,Plumbers [7251],1780
2019-01,"Steamfitters, pipefitters and sprinkler system installers [7252]",265
2019-01,Gas fitters [7253],130
2019-01,Carpenters and cabinetmakers [727],4280
2019-01,Carpenters [7271],3730
2019-01,Cabinetmakers [7272],555
2019-01,Masonry and plastering trades [728],1685
2019-01,Bricklayers [7281],270
2019-01,Concrete finishers [7282],380
2019-01,Tilesetters [7283],375
2019-01,"Plasterers, drywall installers and finishers and lathers [7284]",660
2019-01,Other construction trades [729],4250
2019-01,Roofers and shinglers [7291],2145
2019-01,Glaziers [7292],0
2019-01,Insulators [7293],330
2019-01,Painters and decorators (except interior decorators) [7294],0
2019-01,Floor covering installers [7295],25
2019-01,Maintenance and equipment operation trades [73],15335
2019-01,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators [730]",1130
2019-01,"Contractors and supervisors, mechanic trades [7301]",505
2019-01,"Contractors and supervisors, heavy equipment operator crews [7302]",495
2019-01,"Supervisors, printing and related occupations [7303]",25
2019-01,"Supervisors, railway transport operations [7304]",45
2019-01,"Supervisors, motor transport and other ground transit operators [7305]",65
2019-01,Machinery and transportation equipment mechanics (except motor vehicles) [731],6240
2019-01,Construction millwrights and industrial mechanics [7311],2550
2019-01,Heavy-duty equipment mechanics [7312],2285
2019-01,"Heating, refrigeration and air conditioning mechanics [7313]",800
2019-01,Railway carmen/women [7314],85
2019-01,Aircraft mechanics and aircraft inspectors [7315],475
2019-01,Machine fitters [7316],0
2019-01,Elevator constructors and mechanics [7318],0
2019-01,Automotive service technicians [732],5515
2019-01,"Automotive service technicians, truck and bus mechanics and mechanical repairers [7321]",4085
2019-01,Motor vehicle body repairers [7322],1430
2019-01,Other mechanics and related repairers [733],1000
2019-01,Oil and solid fuel heating mechanics [7331],0
2019-01,Appliance servicers and repairers [7332],195
2019-01,Electrical mechanics [7333],535
2019-01,"Motorcycle, all-terrain vehicle and other related mechanics [7334]",0
2019-01,Other small engine and small equipment repairers [7335],105
2019-01,Train crew operating occupations [736],260
2019-01,Railway and yard locomotive engineers [7361],0
2019-01,Railway conductors and brakemen/women [7362],0
2019-01,"Crane operators, drillers and blasters [737]",240
2019-01,Crane operators [7371],85
2019-01,"Drillers and blasters - surface mining, quarrying and construction [7372]",0
2019-01,Water well drillers [7373],0
2019-01,"Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.) [738]",945
2019-01,Printing press operators [7381],0
2019-01,"Other trades and related occupations, not elsewhere classified (n.e.c.) [7384]",0
2019-01,"Other installers, repairers and servicers and material handlers [74]",10005
2019-01,"Other installers, repairers and servicers [744]",2380
2019-01,Residential and commercial installers and servicers [7441],1720
2019-01,Waterworks and gas maintenance workers [7442],50
2019-01,Pest controllers and fumigators [7444],0
2019-01,Other repairers and servicers [7445],470
2019-01,Longshore workers and material handlers [745],7630
2019-01,Longshore workers [7451],0
2019-01,Material handlers [7452],7575
2019-01,Transport and heavy equipment operation and related maintenance occupations [75],28125
2019-01,Motor vehicle and transit drivers [751],24005
2019-01,Transport truck drivers [7511],18575
2019-01,"Bus drivers, subway operators and other transit operators [7512]",3025
2019-01,Taxi and limousine drivers and chauffeurs [7513],475
2019-01,Delivery and courier service drivers [7514],1935
2019-01,Heavy equipment operators [752],2720
2019-01,Heavy equipment operators (except crane) [7521],1685
2019-01,Public works maintenance equipment operators and related workers [7522],1030
2019-01,Other transport equipment operators and related maintenance workers [753],1400
2019-01,Railway yard and track maintenance workers [7531],0
2019-01,Water transport deck and engine room crew [7532],45
2019-01,Boat and cable ferry operators and related occupations [7533],0
2019-01,Air transport ramp attendants [7534],530
2019-01,Other automotive mechanical installers and servicers [7535],795
2019-01,"Trades helpers, construction labourers and related occupations [76]",11255
2019-01,Trades helpers and labourers [761],9800
2019-01,Construction trades helpers and labourers [7611],8915
2019-01,Other trades helpers and labourers [7612],885
2019-01,"Public works and other labourers, not elsewhere classified (n.e.c.) [762]",1455
2019-01,Public works and maintenance labourers [7621],950
2019-01,Railway and motor transport labourers [7622],505
2019-01,"Natural resources, agriculture and related production occupations [8]",20065
2019-01,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1950
2019-01,"Supervisors, logging and forestry [821]",0
2019-01,"Supervisors, logging and forestry [8211]",0
2019-01,"Contractors and supervisors, mining, oil and gas [822]",280
2019-01,"Supervisors, mining and quarrying [8221]",0
2019-01,"Contractors and supervisors, oil and gas drilling and services [8222]",120
2019-01,"Underground miners, oil and gas drillers and related occupations [823]",580
2019-01,Underground production and development miners [8231],410
2019-01,"Oil and gas well drillers, servicers, testers and related workers [8232]",170
2019-01,Logging machinery operators [824],85
2019-01,Logging machinery operators [8241],85
2019-01,"Contractors and supervisors, agriculture, horticulture and related operations and services [825]",930
