DATE,OCCUPATION,JOB VACANCIES
2019-10,Creative designers and craftspersons [524],0
2019-10,Graphic designers and illustrators [5241],0
2019-10,Interior designers and interior decorators [5242],0
2019-10,"Theatre, fashion, exhibit and other creative designers [5243]",0
2019-10,Artisans and craftspersons [5244],0
2019-10,"Patternmakers - textile, leather and fur products [5245]",0
2019-10,"Athletes, coaches, referees and related occupations [525]",1515
2019-10,Athletes [5251],0
2019-10,Coaches [5252],300
2019-10,Sports officials and referees [5253],0
2019-10,"Program leaders and instructors in recreation, sport and fitness [5254]",1205
2019-10,Sales and service occupations [6],66115
2019-10,Retail sales supervisors and specialized sales occupations [62],3950
2019-10,Retail sales supervisors [621],430
2019-10,Retail sales supervisors [6211],430
2019-10,Technical sales specialists in wholesale trade and retail and wholesale buyers [622],1985
2019-10,Technical sales specialists - wholesale trade [6221],1760
2019-10,Retail and wholesale buyers [6222],225
2019-10,"Insurance, real estate and financial sales occupations [623]",1535
2019-10,Insurance agents and brokers [6231],525
2019-10,Real estate agents and salespersons [6232],0
2019-10,Financial sales representatives [6235],865
2019-10,Service supervisors and specialized service occupations [63],7260
2019-10,Service supervisors [631],1300
2019-10,Food service supervisors [6311],655
2019-10,Executive housekeepers [6312],0
2019-10,"Accommodation, travel, tourism and related services supervisors [6313]",130
2019-10,Customer and information services supervisors [6314],265
2019-10,Cleaning supervisors [6315],80
2019-10,Other services supervisors [6316],160
2019-10,Chefs and cooks [632],4380
2019-10,Chefs [6321],490
2019-10,Cooks [6322],3890
2019-10,Butchers and bakers [633],260
2019-10,"Butchers, meat cutters and fishmongers - retail and wholesale [6331]",105
2019-10,Bakers [6332],0
2019-10,Specialized occupations in personal and customer services [634],1320
2019-10,Hairstylists and barbers [6341],1065
2019-10,"Tailors, dressmakers, furriers and milliners [6342]",0
2019-10,Shoe repairers and shoemakers [6343],0
2019-10,"Jewellers, jewellery and watch repairers and related occupations [6344]",0
2019-10,Upholsterers [6345],0
2019-10,Funeral directors and embalmers [6346],0
2019-10,Sales representatives and salespersons - wholesale and retail trade [64],17435
2019-10,Sales and account representatives - wholesale trade (non-technical) [641],2200
2019-10,Sales and account representatives - wholesale trade (non-technical) [6411],2200
2019-10,Retail salespersons [642],15230
2019-10,Retail salespersons [6421],15230
2019-10,Service representatives and other customer and personal services occupations [65],13385
2019-10,Occupations in food and beverage service [651],3640
2019-10,Maîtres d'hôtel and hosts/hostesses [6511],380
2019-10,Bartenders [6512],505
2019-10,Food and beverage servers [6513],2760
2019-10,Occupations in travel and accommodation [652],490
2019-10,Travel counsellors [6521],0
2019-10,Pursers and flight attendants [6522],0
2019-10,Airline ticket and service agents [6523],65
2019-10,"Ground and water transport ticket agents, cargo service representatives and related clerks [6524]",0
2019-10,Hotel front desk clerks [6525],225
2019-10,Tourism and amusement services occupations [653],190
2019-10,Tour and travel guides [6531],0
2019-10,Outdoor sport and recreational guides [6532],0
2019-10,Casino occupations [6533],0
2019-10,Security guards and related security service occupations [654],2520
2019-10,Security guards and related security service occupations [6541],2520
2019-10,Customer and information services representatives [655],5725
2019-10,Customer services representatives - financial institutions [6551],630
2019-10,Other customer and information services representatives [6552],5095
2019-10,Other occupations in personal service [656],820
2019-10,"Image, social and other personal consultants [6561]",0
2019-10,"Estheticians, electrologists and related occupations [6562]",670
2019-10,Pet groomers and animal care workers [6563],0
2019-10,Other personal service occupations [6564],0
2019-10,Sales support occupations [66],7115
2019-10,Cashiers [661],1890
2019-10,Cashiers [6611],1890
2019-10,Other sales support and related occupations [662],5225
2019-10,Service station attendants [6621],0
2019-10,"Store shelf stockers, clerks and order fillers [6622]",4775
2019-10,Other sales related occupations [6623],390
2019-10,"Service support and other service occupations, not elsewhere classified (n.e.c.) [67]",16970
2019-10,"Food counter attendants, kitchen helpers and related support occupations [671]",10345
2019-10,"Food counter attendants, kitchen helpers and related support occupations [6711]",10345
2019-10,"Support occupations in accommodation, travel and amusement services [672]",1450
2019-10,"Support occupations in accommodation, travel and facilities set-up services [6721]",130
2019-10,"Operators and attendants in amusement, recreation and sport [6722]",1320
2019-10,Cleaners [673],4120
2019-10,Light duty cleaners [6731],1965
2019-10,Specialized cleaners [6732],695
2019-10,"Janitors, caretakers and building superintendents [6733]",1455
2019-10,"Other service support and related occupations, not elsewhere classified (n.e.c.) [674]",1055
2019-10,"Dry cleaning, laundry and related occupations [6741]",170
2019-10,"Other service support occupations, not elsewhere classified (n.e.c.) [6742]",885
2019-10,"Trades, transport and equipment operators and related occupations [7]",26665
2019-10,"Industrial, electrical and construction trades [72]",7240
2019-10,"Contractors and supervisors, industrial, electrical and construction trades and related workers [720]",325
2019-10,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201]",40
2019-10,"Contractors and supervisors, electrical trades and telecommunications occupations [7202]",70
2019-10,"Contractors and supervisors, pipefitting trades [7203]",0
2019-10,"Contractors and supervisors, carpentry trades [7204]",0
2019-10,"Contractors and supervisors, other construction trades, installers, repairers and servicers [7205]",0
2019-10,"Machining, metal forming, shaping and erecting trades [723]",1930
2019-10,Machinists and machining and tooling inspectors [7231],565
2019-10,Tool and die makers [7232],160
2019-10,Sheet metal workers [7233],0
2019-10,Boilermakers [7234],0
2019-10,Structural metal and platework fabricators and fitters [7235],50
2019-10,Ironworkers [7236],0
2019-10,Welders and related machine operators [7237],925
2019-10,Electrical trades and electrical power line and telecommunications workers [724],1030
2019-10,Electricians (except industrial and power system) [7241],0
2019-10,Industrial electricians [7242],260
2019-10,Power system electricians [7243],0
2019-10,Electrical power line and cable workers [7244],0
2019-10,Telecommunications line and cable workers [7245],0
2019-10,Telecommunications installation and repair workers [7246],0
2019-10,Cable television service and maintenance technicians [7247],120
2019-10,"Plumbers, pipefitters and gas fitters [725]",985
2019-10,Plumbers [7251],700
2019-10,"Steamfitters, pipefitters and sprinkler system installers [7252]",0
2019-10,Gas fitters [7253],0
2019-10,Carpenters and cabinetmakers [727],1060
2019-10,Carpenters [7271],970
2019-10,Cabinetmakers [7272],0
2019-10,Masonry and plastering trades [728],755
2019-10,Bricklayers [7281],0
2019-10,Concrete finishers [7282],0
2019-10,Tilesetters [7283],0
2019-10,"Plasterers, drywall installers and finishers and lathers [7284]",0
2019-10,Other construction trades [729],1160
2019-10,Roofers and shinglers [7291],555
2019-10,Glaziers [7292],0
2019-10,Insulators [7293],0
2019-10,Painters and decorators (except interior decorators) [7294],0
2019-10,Floor covering installers [7295],0
2019-10,Maintenance and equipment operation trades [73],4680
2019-10,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators [730]",500
2019-10,"Contractors and supervisors, mechanic trades [7301]",210
2019-10,"Contractors and supervisors, heavy equipment operator crews [7302]",250
2019-10,"Supervisors, printing and related occupations [7303]",0
2019-10,"Supervisors, railway transport operations [7304]",0
